"COMMUNITY NAME","AVGERAGE COLLEGE ENROLLEMENT"
"ARCHER HEIGHTS","2411.50"
"MONTCLARE","1317.00"
"BELMONT CRAGIN","1233.56"
"WEST ELSDON","1233.33"
"NORTH CENTER","1223.50"
"BRIGHTON PARK","1205.88"
"GAGE PARK","1061.29"
"EAST SIDE","1061.00"
"WEST LAWN","1051.75"
"HERMOSA","1037.67"
"CHICAGO LAWN","1012.29"
"PORTAGE PARK","993.43"
"IRVING PARK","925.13"
"WEST RIDGE","910.78"
"GARFIELD RIDGE","910.40"
"AVONDALE","910.00"
"NORWOOD PARK","901.29"
"JEFFERSON PARK","877.50"
"LOOP","871.00"
"LINCOLN PARK","855.67"
"NORTH PARK","842.00"
"LINCOLN SQUARE","826.40"
"ASHBURN","810.38"
"ALBANY PARK","803.57"
"OHARE","786.00"
"MORGAN PARK","766.75"
"EDGEWATER","766.67"
"DUNNING","761.33"
"HUMBOLDT PARK","685.50"
"LOGAN SQUARE","668.27"
"SOUTH LAWNDALE","655.37"
"LOWER WEST SIDE","654.80"
"EDISON PARK","650.00"
"CLEARING","649.33"
"LAKE VIEW","641.36"
"BRIDGEPORT","633.40"
"ROGERS PARK","621.50"
"NEW CITY","609.38"
"SOUTH CHICAGO","577.57"
"CHATHAM","572.88"
"KENWOOD","564.40"
"WOODLAWN","561.29"
"BURNSIDE","549.00"
"NEAR WEST SIDE","537.43"
"SOUTH SHORE","534.83"
"WASHINGTON PARK","529.60"
"MOUNT GREENWOOD","522.75"
"AVALON PARK","507.33"
"ARMOUR SQUARE","486.00"
"HYDE PARK","482.50"
"HEGEWISCH","481.50"
"ROSELAND","481.25"
"NEAR NORTH SIDE","479.60"
"WEST ENGLEWOOD","478.75"
"AUSTIN","477.38"
"FOREST GLEN","477.00"
"WEST TOWN","471.45"
"SOUTH DEERING","464.75"
"NEAR SOUTH SIDE","459.33"
"UPTOWN","456.17"
"WASHINGTON HEIGHTS","445.11"
"DOUGLAS","444.50"
"EAST GARFIELD PARK","410.54"
"AUBURN GRESHAM","410.33"
"BEVERLY","409.00"
"GREATER GRAND CROSSING","405.10"
"ENGLEWOOD","401.88"
"MCKINLEY PARK","389.00"
"RIVERDALE","386.75"
"GRAND BOULEVARD","351.13"
"WEST GARFIELD PARK","327.75"
"PULLMAN","324.00"
"NORTH LAWNDALE","309.20"
"WEST PULLMAN","291.71"
"CALUMET HEIGHTS","276.00"
"FULLER PARK","265.50"
